term,family,priority,ownership,nullable_by_curator,suggested_ownership,suggested_nullable,rationale,n_compilations,compilations,n_filled,max_distinct,n_conflict_subst,ts_name,convo_type,same_across_dataset,example_values
calibration_notes,calibration_notes,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,GBRCD,1129,36,,calibration_notes,character,FALSE,"No calibration applied. | Centred SrCa-SST and d18O-SST RMA equations available in paper were the author preferred option. | Combined equation from this study (fit period 1986-1988), Alibert & McCulloch (1997), Gagan et al. (1998) and Marshall & McCulloch (2002). | Calibration based on data and age model from Chakraborty et al. (2000); calibration may not align with archived data."
calibration_targetDataset,calibration_targetDataset,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,GBRCD,268,22,,calibration_targetDataset,character,FALSE,AIMS in situ logger | GBRMPA in situ loggers averaged and blended | ERSST v3b | HadISST1.1
climateInterpretation1_dynamical,climateInterpretation*_dynamical,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,hydroclimate2k,11,8,,,,,
climateInterpretation2_basis,climateInterpretation*_basis,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,hydroclimate2k,17,11,,climateInterpretation2_basis,character,FALSE,High elevation snowfall is the primary control on the d18O of groundwater and this lake. | Summer air temperature and its effects on relative humidity control evaporation rates | The amount of high elevation snowfall is the primary control on the d18O of groundwater and this lake. | ...shows distinct episodes of relatively cool and wet as well as warmer and drier climates over the last 4200 years.
climateInterpretation2_direction,climateInterpretation*_direction,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,hydroclimate2k,17,2,,climateInterpretation2_direction,character,FALSE,negative | positive
climateInterpretation2_seasonality,climateInterpretation*_seasonality,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,hydroclimate2k,17,9,,climateInterpretation2_seasonality,character,FALSE,Nov-April | Apr-Sep | Apri-Oct | Annual
climateInterpretation2_variable,climateInterpretation*_variable,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,hydroclimate2k,17,7,,climateInterpretation2_variable,character,FALSE,Precipitation amount | Air Temperature | Precipitation | effectivePrecipitation
climateInterpretation2_variableDetail,climateInterpretation*_variableDetail,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,hydroclimate2k,7,4,,climateInterpretation2_variableDetail,character,FALSE,air@surface | @surface | surface temperature | atmospheric surface temperature
collectionYear,collectionYear,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,GBRCD,1102,59,,collectionYear,character,TRUE,1993-10 | 1998-10 | 1988 | 2012-05
distinctYearsInCommonEra,distinctYearsInCommonEra,4. single/low use,,,REVIEW,FALSE,no rule matched,1,hydroclimate2k,4738,372,,,,,209 | 131 | 88 | 75
dynamicalSystemBasis,dynamicalSystemBasis,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,hydroclimate2k,9,9,,,,,"Higher streamflow is associated with preferred modes of atmospheric circulation. For the southwestern United States, this preferred mode is similar to the positive, or warm phase of the Pacific Decadal Oscillation; total sand records a combination of local (i.e. lake level/discharge) and regional (i.e. PDO-related) climate variability | Mountain precipitation is lower in d18O and higher in amount during positive phases of ENSO and PDO due to intensified long-distance southerly vapor transport and topographic rainout. | Higher mountain precipitation amounts are lower in d18O with intensified long-distance southerly flow and topographic rainout during positive phases of ENSO and PDO. | In this region, ENSO/PDO is a primary control of winter snowfall whereas the NAM is a primary control of summer rainfall."
dynamicalSystemDirection,dynamicalSystemDirection,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,hydroclimate2k,10,4,,,,,positive | negative | non-stationary | Positive
environmentInterpretation1_basis,environmentInterpretation*_basis,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,hydroclimate2k,34,27,,environmentInterpretation1_basis,character,FALSE,"dark layers are formed during arid periods when reduced Ca2+ input from groundwater leads to a decline in aragonite precipitation | In Castor Lake the δ18O of aragonite primarily reflects lake water δ18O and hence the P/E influencing the system at the time of mineral formation. Most aragonite precipitates at similar temperatures during summer months, minimizing the influence of water temperature variations. | Seasonality 'summer-to-early-fall' (NH) | grain size reflect changes in run-off dynamics as coupled to changes in atmospheric circulation (i.e. climate)"
environmentInterpretation1_direction,environmentInterpretation*_direction,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,hydroclimate2k,730,5,,environmentInterpretation1_direction,character,FALSE,positive | negative | Positive | Negative
environmentInterpretation1_seasonality,environmentInterpretation*_seasonality,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,hydroclimate2k,498,36,,environmentInterpretation1_seasonality,character,FALSE,subannual | Annual | Jun-Aug | Dec-Feb
environmentInterpretation1_variable,environmentInterpretation*_variable,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,hydroclimate2k,809,34,,environmentInterpretation1_variable,character,FALSE,seawaterIsotope | sea surface temperature | effectivePrecipitation | precipitationIsotope
environmentInterpretation2_basis,environmentInterpretation*_basis,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,hydroclimate2k,15,11,,environmentInterpretation2_basis,character,FALSE,pollen evidence and increase in sedimentation rate at 250 BCE-225 CE | The combined fractionation factors of calcite formation in lake water (~-0.25‰/˚C) and the average relation between precipiation-d18O and surface temperature (+0.3 to 0.6‰). | Watershed erosion goes down and brings less lithogenic material into the lake to dilute the %OM when vegetation is denser | Watershed erosion goes up and brings more lithogenic material into the lake when vegetation is less dense
environmentInterpretation2_direction,environmentInterpretation*_direction,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,hydroclimate2k,73,3,,environmentInterpretation2_direction,character,FALSE,negative | positive | increase
environmentInterpretation2_seasonality,environmentInterpretation*_seasonality,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,hydroclimate2k,16,2,,environmentInterpretation2_seasonality,character,FALSE,annual | sub-annual
environmentInterpretation2_variable,environmentInterpretation*_variable,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,hydroclimate2k,91,17,,environmentInterpretation2_variable,character,FALSE,temperature | anthropogenic disturbance | Temperature of lake water and atmospheric vapor condensation | precipitationIsotope
gbrCompositeCalibrationList,gbrCompositeCalibrationList,4. single/low use,,,REVIEW,FALSE,no rule matched,1,GBRCD,85,13,,gbrCompositeCalibrationList,character,TRUE,"HER-1F; HER-13; GBR-538; GBR-637 ; GBR641A | KMN-03B-01, BRO-01A-02, BRT-01A-03, BRT-01B-01, HAV-01A-02, PAN-08B-02, GPI-02A-01, LOD-01A-01 | Havannah; Pandora | ACH01A; BRO01A; CID01A; CNR01B; COO01E; DUN02A; GPI02A; HAV01A; HKO01B; HMP01B; LUP01C; MAG01D; NOR01B; NMI01B; PAN07B; SMI01C; SNH01A"
gbrCoreIDOtherStudyList,gbrCoreIDOtherStudyList,4. single/low use,,,REVIEW,FALSE,no rule matched,1,GBRCD,519,63,,gbrCoreIDOtherStudyList,character,TRUE,Fallon (2000); Fallon et al. (2003) | Alibert and McCulloch (1997); Fallon (2000); Fallon et al. (2003) | Chakraborty (1993); Chakraborty et al. (2000) | Linsley et al. (2019)
gbrHasAlternateCalibration,gbrHasAlternateCalibration,4. single/low use,,,REVIEW,FALSE,no rule matched,1,GBRCD,1199,2,,gbrHasAlternateCalibration,character,TRUE,FALSE | TRUE
gbrIsCompositeCalibration,gbrIsCompositeCalibration,4. single/low use,,,REVIEW,FALSE,no rule matched,1,GBRCD,1199,2,,gbrIsCompositeCalibration,character,TRUE,FALSE | TRUE
gbrIsCoreIDOtherStudy,gbrIsCoreIDOtherStudy,4. single/low use,,,REVIEW,FALSE,no rule matched,1,GBRCD,1199,2,,gbrIsCoreIDOtherStudy,character,TRUE,TRUE | FALSE
gbrIsSstCalibration,gbrIsSstCalibration,4. single/low use,,,REVIEW,FALSE,no rule matched,1,GBRCD,1199,2,,gbrIsSstCalibration,character,TRUE,TRUE | FALSE
gbrUseSstCalibration,gbrUseSstCalibration,4. single/low use,,,REVIEW,FALSE,no rule matched,1,GBRCD,1199,2,,gbrUseSstCalibration,character,TRUE,TRUE | FALSE
geo_area,geo_area,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,hydroclimate2k,80,13,,geo_area,character,TRUE,1571 m2 | 0.07 km2 | 0.18 km2 | 115 km2
geo_basinType,geo_basinType,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,hydroclimate2k,114,9,,geo_basinType,character,TRUE,closed | open groundwater lake | Closed groundwater lake | open
geo_depthCoring,geo_depthCoring,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,hydroclimate2k,85,14,,geo_depthCoring,character,TRUE,7 m | 11.6m | 4.5m | 3.1m
geo_depthMax,geo_depthMax,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,hydroclimate2k,70,20,,geo_depthMax,character,TRUE,13 m | <10 m | 3.6m | 1.5m
geo_location,geo_location,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,GBRCD,216,8,,geo_location,character,TRUE,"Heron Island Reef | Geoffrey Bay | Pete's Bay, One Tree Island Lagoon | Iris Point"
geo_notes,geo_notes,4. single/low use,,,curator,TRUE,a judgement recorded by a compilation; sheet is authoritative,1,GBRCD,1053,125,,geo_notes,character,TRUE,"GPS coordinates offset from Davies Reef. Reef located -18.82, 147.64 for reef from 'Reefs and shoals – Queensland' geodatabase. Upper surface 3.1 m below low tide mark. | GPS coordinates offset from Pandora Reef. Reef located at -18.813, 146.433 from 'Reefs and shoals – Queensland' geodatabase. | Latitude and longitude inferred for reef from 'Reefs and shoals – Queensland' geodatabase. | Latitude and longitude supplied by J. Mallela. Top of colony water depth 0.5 m and bottom of colony 1.7 m."
geo_ocean,geo_ocean,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,CoralHydro2k,304,5,,,,,
geo_ocean2,geo_ocean2,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,CoralHydro2k,100,6,,,,,
geo_secondarySiteName,geo_secondarySiteName,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,CoralHydro2k,197,56,,,,,
hasChron,hasChron,4. single/low use,,,machine,FALSE,derived or written by the pipeline; file is authoritative,1,iso2k,1031,2,,,,,
hasDepth,hasDepth,4. single/low use,,,machine,FALSE,derived or written by the pipeline; file is authoritative,1,iso2k,1031,2,,,,,
hasResolution_nominal,hasResolution_nominal,4. single/low use,,,machine,FALSE,derived or written by the pipeline; file is authoritative,1,CoralHydro2k,285,11,,,,,
interpretationApplies,interpretationApplies,4. single/low use,,,curator,TRUE,a judgement recorded by a compilation; sheet is authoritative,1,hydroclimate2k,1,1,,,,,3ka to present
isotopeInterpretation1_basis,isotopeInterpretation*_basis,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,iso2k,601,254,,isotopeInterpretation1_basis,character,FALSE,"precipitation occurs in closest proximity to the bulk of global cloud formation and its dD values are most influenced by its amount. dD values de- crease as precipitation amount increases (Risi et al., 2008). Additional factors shape the dD values of fatty acids in land-plants as well but their consideration below suggests that our dDn-C26 sequences were unambiguously if qualita- tively reflecting changes in amount of precipitation. | The coral 18O record from this site reflects primarily SST; a linear regression of coral 18O versus SST yields a slope of 0.24 per mil (a€°) 18O per 1A°C, explaining 47% of the SST variance (20). | The availability of instrumental climate data allow the comparison with the coral signal and supports the interpretation of reconstructed past temperature anomalies. The use of air temperatures is justified by the strong long-term correspondence between Bermuda SST (COADS) of a 2 latitude by 2 longitude area and Bermuda air temperature during a 40-year period. | This tracer responds to water temperature through a temperature- dependent fractionation [~ -0.2 permil d18O/degree C (19, 20)], as well as to changes in rainfall, due to the influence of isotopically light (more negative d18O) rainfall on surface ocean composition. Because SST and rainfall are intimately linked in tropical areas of strong convective rainfall such as the western equatorial Pacific, the two factors combine to produce an enhanced climatic signal in coral skeletal d18O."
isotopeInterpretation1_coefficient,isotopeInterpretation*_coefficient,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,iso2k,6,5,,isotopeInterpretation1_coefficient,numeric,FALSE,0.58 | -0.2 | -0.209 | 1.973
isotopeInterpretation1_fraction,isotopeInterpretation*_fraction,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,iso2k,14,11,,isotopeInterpretation1_fraction,numeric,FALSE,0.47 | 0.81 | 0.5 | 0.6
isotopeInterpretation1_mathematicalRelation,isotopeInterpretation*_mathematicalRelation,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,iso2k,544,7,,isotopeInterpretation1_mathematicalRelation,character,FALSE,linear | linear (MLR) | depends on the source area and transport path to the study site | nonlinear
isotopeInterpretation1_rank,isotopeInterpretation*_rank,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,iso2k,579,2,,isotopeInterpretation1_rank,numeric,FALSE,1 | 2
isotopeInterpretation2_basis,isotopeInterpretation*_basis,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,iso2k,159,71,,isotopeInterpretation2_basis,character,FALSE,"Plant to plant differences in fractionations between dD values of n-alkyl compounds and their precipitation source may introduce the greatest error in interpreting rainfall amount. | additional variability in coral 18O may arise from vari- ations in the 18O of seawater due to precip- itation, evaporation, or runoff, but at this site these changes are likely to be secondary be- cause local rainfall 18O is not strongly de- pleted from average seawater (21) and salin- ity gradients are small (22). Rainfall and SST influences are likely to be additive in terms of annual effect on coral 18O because warmer years tend to be wetter at this site. | the salinity effect on the isotopic pool of the ambient seawater is considered a negligible background signal and variations in coral d18O can be attributed to be primarily driven by changes in SST. | SSS linked to rainfall"
isotopeInterpretation2_fraction,isotopeInterpretation*_fraction,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,iso2k,4,4,,isotopeInterpretation2_fraction,numeric,FALSE,0.5 | 0.22 | 0.29 | 0
isotopeInterpretation2_mathematicalRelation,isotopeInterpretation*_mathematicalRelation,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,iso2k,172,7,,isotopeInterpretation2_mathematicalRelation,character,FALSE,linear | linear (MLR) | depends on which season provides source moisture for plants | nonlinear
isotopeInterpretation2_rank,isotopeInterpretation*_rank,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,iso2k,203,2,,isotopeInterpretation2_rank,numeric,FALSE,2 | 1
isotopeInterpretation3_basis,isotopeInterpretation*_basis,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,iso2k,77,8,,isotopeInterpretation3_basis,character,FALSE,"Salinity_water (mostly P-E) | Permanent anoxia in the subsurface water confines phytoplankton, dominated by dinoflagellates and diatoms24, to the oxygenated, brackish and deuterium-depleted surface water where their lipid dD values can be expected to closely co-vary with the surface water dDvalues25,26. dD values of that water are controlled by the amount of rainfall, its isotopic composition and the amount of mixing with the underlying sea water. As rain also increases the density stratification in the lakes, decreasing mixing, surface water dD values are expected to be significantly lower during wet periods compared with dry periods.  Zhang and Sachs 2007, Organic Geochemistry, 38: 582-608. | Secondly, plant community changes in the catchment (or other ecological changes) may influence the dD record. Vegetation changes could reasonably have an influence on the mean catchment ewax/precip that lasts for decades, so this mecha- nism might operate too slowly to explain sample-to-sample vari- ability in the sediment, although it may contribute to the multi- decadal variability. We observed abundance variation in homo- logues downcore (Fig. 5), which could be consistent with ecological changes influencing dD values; however, the non-unique chain length distributions of different plant species (Bush and McIner- ney, 2013) make it impossible to draw unique solutions here. | While the isotopic composition of precipitation appears to be the primary control on the structure of the LT ?Dwax record, it is clear that secondary effects also contribute to this signal. Most notably, the much larger range at LT (102h) than at Illimani (58h) over the past 19 kyr suggests the influence of compounding effects on LT ?Dwax, such as decreased regional precipitation, resulting in a more enriched ?Dp, and low local humidity, which would tend to further enrich plant source water by soil water evaporation and/or leaf transpiration. Since such local evapotranspiration feedbacks would be expected to act in step with ?Dp changes, this would serve to amplify the ?Dwax signal and increase its sensitivity to ?Dp variability."
isotopeInterpretation3_mathematicalRelation,isotopeInterpretation*_mathematicalRelation,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,iso2k,66,2,,isotopeInterpretation3_mathematicalRelation,character,FALSE,Sr/Ca avaiable for select intervals | linear
isotopeInterpretation3_rank,isotopeInterpretation*_rank,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,iso2k,24,2,,isotopeInterpretation3_rank,numeric,FALSE,3 | 1
notes,notes,4. single/low use,,,curator,TRUE,a judgement recorded by a compilation; sheet is authoritative,1,GBRCD,346,60,,notes,character,TRUE,"Sample originally measured by T. Razak, but has not been published previously. Age model created by A. Arzey for archiving. See GBRCD publication appendices. | Sample originally measured by A. Arzey, but data was not published previously. See GBRCD publication appendices. | Coral was part of the Enrichment of Nutrients Coral Reef Experiment (ENCORE) - control treatment. Trace elements were originally measured by S. Lewis, but data was not published previously. Age model updated for archiving. Notable diagenetic alteration. See GBRCD publication appendices. | Coral was part of the Enrichment of Nutrients Coral Reef Experiment (ENCORE) - nitrogen treatment. Trace elements were originally measured by S. Lewis, but data was not published previously. Age model updated for archiving. Notable diagenetic alteration. See GBRCD publication appendices."
paleoData_climateCorrelation,paleoData_climateCorrelation,4. single/low use,,,REVIEW,FALSE,no rule matched,1,Nam2kDendro,1837,1608,,,,,
paleoData_climateCorrelationPval,paleoData_climateCorrelationPval,4. single/low use,,,REVIEW,FALSE,no rule matched,1,Nam2kDendro,1837,1170,,,,,
paleoData_core,paleoData_core,4. single/low use,,,REVIEW,FALSE,no rule matched,1,GBRCD,1194,183,,paleoData_core,character,FALSE,Davies 2; Davies 2 side | PAN 98-2; PAN 98-2 B3 | PAN 98-2; PAN 98-2 B1 | Dip-04
paleoData_createdBy,paleoData_createdBy,4. single/low use,,,machine,FALSE,derived or written by the pipeline; file is authoritative,1,hydroclimate2k,331,3,,paleoData_createdBy,character,FALSE,hydroclimate2k | wNAM | RapidArcticWarming - duplicate
paleoData_equilibriumEvidence,paleoData_equilibriumEvidence,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,iso2k,136,53,,,,,
paleoData_gbr14CDate,paleoData_gbr14CDate,4. single/low use,,,REVIEW,FALSE,no rule matched,1,GBRCD,6,4,,paleoData_gbr14CDate,character,FALSE,5689 | 5688 | 5571 | 4481
paleoData_gbr14CDateUncertainty,paleoData_gbr14CDateUncertainty,4. single/low use,,,REVIEW,FALSE,no rule matched,1,GBRCD,6,3,,paleoData_gbr14CDateUncertainty,character,FALSE,25 | 31 | 30
paleoData_gbrChronologyNotes,paleoData_gbrChronologyNotes,4. single/low use,,,curator,TRUE,a judgement recorded by a compilation; sheet is authoritative,1,GBRCD,1199,66,,paleoData_gbrChronologyNotes,character,FALSE,SrCa compared with weekly averaged in situ SSTs from Davies Reef weather station. Features in SrCa record matched with same events in the SST record. | SrCa time series was derived by scaling of the distance axis for 1989 to 1993. | SrCa compared with in-situ weekly averaged blended SSTs from 3 sites around Orpheus and Pelorus Islands for TIMS data. | SrCa compared with weekly averaged SSTs; slice B1 matched only a small number of data points with mainly satellite derived SSTs 1988 to 1993.
paleoData_gbrDataCoverageGroup,paleoData_gbrDataCoverageGroup,4. single/low use,,,REVIEW,FALSE,no rule matched,1,GBRCD,1199,3,,paleoData_gbrDataCoverageGroup,character,FALSE,3 | 2 | 1
paleoData_gbrDatingNotes,paleoData_gbrDatingNotes,4. single/low use,,,curator,TRUE,a judgement recorded by a compilation; sheet is authoritative,1,GBRCD,74,20,,paleoData_gbrDatingNotes,character,FALSE,Off-cut of coral section used for record dated July 2022. Date sample taken from top of off-cut section and assumed to match youngest year of the record. See GBRCD publication appendices. | Alternate slice of coral dated July 2022. Date sample taken from near basal section of coral slice. Assumed to match oldest year of the record. See GBRCD publication appendices. | 5.790 ± 0.031 ka reported 2003-09 for top of NEL01D and 6.089 ± 0.040 ka reported 2003-09 for bottom of NEL01D. Additional dating information provided in Lewis (2005). Original age discrepancy compared with published Lough et al. (2014) 14C dating becomes within error using re-calibration of 14C ages. Assumed this NEL01D youngest year (year 130) matches LO14NEL04 youngest year (Lough et al. (2014) year 0). | 6.062 ± 0.089 ka reported 2003-09 for top of NEL03D and 6.179 ± 0.036 ka reported 2003-09 for bottom of NEL03D. Additional dating information provided in Lewis (2005). Original age discrepancy compared with published Lough et al. (2014) 14C dating becomes smaller using re-calibration of 14C ages. Assumed this NEL03D youngest year (year 70) matches youngest year of LO14NEL04 (Lough et al. (2014) NEL03D year 234).
paleoData_gbrIsAnomaly,paleoData_gbrIsAnomaly,4. single/low use,,,REVIEW,FALSE,no rule matched,1,GBRCD,1199,2,,paleoData_gbrIsAnomaly,character,FALSE,FALSE | TRUE
paleoData_gbrIsDatabaseDuplicate,paleoData_gbrIsDatabaseDuplicate,4. single/low use,,,REVIEW,FALSE,no rule matched,1,GBRCD,1199,2,,paleoData_gbrIsDatabaseDuplicate,character,FALSE,TRUE | FALSE
paleoData_gbrUThDate,paleoData_gbrUThDate,4. single/low use,,,REVIEW,FALSE,no rule matched,1,GBRCD,66,13,,paleoData_gbrUThDate,character,FALSE,5752 | 5721 | 5736 | 6008
paleoData_gbrUThDateUncertainty,paleoData_gbrUThDateUncertainty,4. single/low use,,,REVIEW,FALSE,no rule matched,1,GBRCD,66,9,,paleoData_gbrUThDateUncertainty,character,FALSE,13 | 11 | 31 | 89
paleoData_hasUncertainty,paleoData_hasUncertainty,4. single/low use,,,REVIEW,FALSE,no rule matched,1,CoralHydro2k,7,7,,,,,
paleoData_isComposite,paleoData_isComposite,4. single/low use,,,curator,FALSE,a judgement recorded by a compilation; sheet is authoritative,1,CoralHydro2k,304,2,,,,,
paleoData_longName,paleoData_longName,4. single/low use,,,machine,FALSE,derived or written by the pipeline; file is authoritative,1,GBRCD,1199,77,,paleoData_longName,character,FALSE,Sr/Ca | Distance | Ba | Ba/Ca
paleoData_measurementInstrument,paleoData_measurementInstrument,4. single/low use,,,REVIEW,FALSE,no rule matched,1,GBRCD,1115,62,,paleoData_measurementInstrument,character,FALSE,Finnigan MAT 261 | ArF excisor laser beam paired with Fisons PQII Q-ICP-MS or Agilent 7500s Q-ICP-MS | Thermo X-Series II Q-ICP-MS | Thermo Scientific iCAP 7600 series ICP-AES
paleoData_measurementMaterialScreening,paleoData_measurementMaterialScreening,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,GBRCD,1199,6,,paleoData_measurementMaterialScreening,character,FALSE,No | Yes; SEM | Yes; SEM & XRD | Yes; UV & SEM
paleoData_measurementMethod,paleoData_measurementMethod,4. single/low use,,,REVIEW,FALSE,no rule matched,1,GBRCD,1120,19,,paleoData_measurementMethod,character,FALSE,TIMS | LA-ICP-MS | Q-ICP-MS | ICP-AES
paleoData_samplingResolution,paleoData_samplingResolution,4. single/low use,,,machine,FALSE,derived or written by the pipeline; file is authoritative,1,GBRCD,1199,14,,paleoData_samplingResolution,character,FALSE,fortnightly_uneven | weekly_uneven | monthly_uneven | annual
paleoData_uncertaintyAnalytical,paleoData_uncertaintyAnalytical,4. single/low use,,,REVIEW,FALSE,no rule matched,1,GBRCD,273,57,,paleoData_uncertaintyAnalytical,character,FALSE,0.11 | 0.06 | 0.02 | 0.05
paleoData_uncertaintyAnalyticalUnits,paleoData_uncertaintyAnalyticalUnits,4. single/low use,,,REVIEW,FALSE,no rule matched,1,GBRCD,273,3,,paleoData_uncertaintyAnalyticalUnits,character,FALSE,permil | mmol/mol | %
paleoData_variableType,paleoData_variableType,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,hydroclimate2k,4378,10,,,,,
pub1_altDataURL,pub*_altDataURL,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,GBRCD,418,12,,pub1_altDataURL,character,TRUE,https://bg.copernicus.org/articles/12/1223/2015/bg-12-1223-2015-supplement.pdf | 10.17632/ww8mvgzymf.1 | 10.25911/5d778a502c764 | https://researchonline.jcu.edu.au/1347/
pub1_doiData,pub*_doiData,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,GBRCD,1199,59,,pub1_doiData,character,TRUE,10.25921/ddhn-hf49 | 10.25921/hqxk-8h74 | 10.25921/nycg-vp29 | 10.25921/qkph-pf51
pub1_firstAuthor,pub*_firstAuthor,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,GBRCD,1199,33,,pub1_firstAuthor,character,TRUE,"Alibert, C. | Arzey, A. K. | Brenner, L. D. | Calvo E."
pub2_altDataURL,pub*_altDataURL,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,GBRCD,152,8,,pub2_altDataURL,character,TRUE,10.17632/jj2ttcsggx.1 | 10.25921/e1x8-m454 | 10.25911/5d778a502c764 | https://researchonline.jcu.edu.au/1347/
pub2_author,pub*_author,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,GBRCD,379,23,,,,,
pub2_firstAuthor,pub*_firstAuthor,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,GBRCD,379,19,,pub2_firstAuthor,character,TRUE,"Alibert, C. | Chakraborty, S. | Wang, Z. | Chen, X."
pub2_journal,pub*_journal,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,GBRCD,379,16,,pub2_journal,character,TRUE,Paleoceanography | Journal of Earth System Science | Geochimica et Cosmochimica Acta | Paleoceanography and Paleoclimatology
pub2_title,pub*_title,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,GBRCD,379,23,,pub2_title,character,TRUE,Strontium/calcium ratios in modern Porites corals From the Great Barrier Reef as a proxy for sea surface temperature: Calibration of the thermometer and monitoring of ENSO | Effect of intraband variability on stable isotope and density time series obtained from banded corals | Biologically controlled Mo isotope fractionation in coral reef systems | A Replication Study on Coral δ11B and B/Ca and Their Variation in Modern and Fossil Porites: Implications for Coral Calcifying Fluid Chemistry and Seawater pH Changes Over the Last Millennium
pub2_year,pub*_year,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,GBRCD,379,16,,pub2_year,numeric,TRUE,1997 | 2000 | 2019 | 2021
pub3_altDataUrl,pub*_altDataUrl,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,GBRCD,26,2,,pub3_altDataUrl,character,TRUE,10.25921/zmax-x645 | https://ars.els-cdn.com/content/image/1-s2.0-S0012821X19304856-mmc1.docx
pub3_author,pub*_author,4. single/low use,,,shared,FALSE,a fact about the dataset; disagreement is a real conflict,1,GBRCD,50,8,,,,,
