dataset,blocker,compilations,block,tsid,variableName,units,n_values
LakeSokoch.Dirksen.2015,none,NA,paleoData,lcRPNoyQhNt6FwjNGo5,uncertainty,mm/yr,38
LakeSokoch.Dirksen.2015,none,NA,chronData,lc-chRGIc8yge6IjVQBJYi,labID,unitless,7
LakeSokoch.Dirksen.2015,none,NA,chronData,lc-chR5bj6FvGHZCkjvUtl,thickness,cm,7
LakeSokoch.Dirksen.2015,none,NA,chronData,lc-chRogj7OOKkYaw2kypZ,notes,unitless,7
LakeSokoch.Dirksen.2015,none,NA,chronData,lc-chRwBBoV9NzwsE1CapX,depth_top,cm,7
LakeSokoch.Dirksen.2015,none,NA,chronData,lc-chR8cfYz30PTcsZAdih,depth_bottom,cm,7
LakeSolso.Odgaard.1988,none,NA,chronData,lc-chR27FZzRIvy2VsQtay,materialDated,unitless,34
LakeSolso.Odgaard.1988,none,NA,chronData,lc-chRV9WtluUXxGDimbdO,notes,unitless,34
LakeTana.Lamb.2007b,none,NA,paleoData,dc_RRikr8gxnYUEWKyvh,sampleID,unitless,30
LakeTanganyika.Livingstone.1965,none,NA,paleoData,dc_RmKdi6tiWajhNtIYc,sampleID,unitless,46
LakeTsuolbmajavri.Seppa.2001,none,NA,chronData,lc-chRbpgCKbbAqhH5bVaq,thickness,cm,13
LakeTsuolbmajavri.Seppa.2001,none,NA,chronData,lc-chR9ctwGbaYDQqFir5J,notes,unitless,13
LakeTsuolbmajavri.Seppa.2001,none,NA,chronData,lc-chReveU1BjsflrHhCD7,depth_top,cm,13
LakeTsuolbmajavri.Seppa.2001,none,NA,chronData,lc-chRZ5NkxCoxgQ4rzfDH,depth_bottom,cm,13
LakeTulane.Grimm.1993,none,NA,chronData,lc-chRWxtu2RZ2jlfJ4PzO,notes,unitless,20
LakeTurkana_LakeRudolf.Stuiver.1969,none,NA,paleoData,dc_RzQCb4cSoj16HfGFk,sampleID,unitless,76
LakeUrmia.Bottema.1987,none,NA,chronData,lc-chRc9HwoHcuXoaUvYTD,notes,unitless,4
LakeVarna.Bozilova.1994,none,NA,chronData,lc-chRp8EXyf6xmmuXvmMr,thickness,cm,4
LakeVarna.Bozilova.1994,none,NA,chronData,lc-chRlhfvxs6OOTtmwkXG,notes,unitless,4
LakeVarna.Bozilova.1994,none,NA,chronData,lc-chRN4K9jG9rC44NZpdG,depth_top,cm,4
LakeVarna.Bozilova.1994,none,NA,chronData,lc-chRHdROVsy8ntweK8IN,depth_bottom,cm,4
LakeVarna.FilipovaMarinova.2016,none,NA,chronData,lc-chRtw30G8gpM5DwdJnD,notes,unitless,6
LakeVerijarv.Niinemets.2006,none,NA,chronData,lc-chRKrEmNNJrB1NWkURR,notes,unitless,6
LakeVictoria.Stuiver.1960,none,NA,paleoData,dc_RgX7fygVyv8VYnACq,sampleID,unitless,86
LakeWA01.Ravindra.2009,none,NA,chronData,lc-chRVyh8DGNfEX8RZk2O,notes,unitless,37
LakeXinias.Bottema.1979,none,NA,chronData,lc-chRXK6jjATBZGqU10bm,notes,unitless,5
LakeYarnyshnoe.Snyder.2000,none,NA,chronData,lc-chRbrC6cE4wkbcvvPwL,thickness,cm,11
LakeYarnyshnoe.Snyder.2000,none,NA,chronData,lc-chRt9pS1DIWF5CnI44k,notes,unitless,11
LakeYarnyshnoe.Snyder.2000,none,NA,chronData,lc-chRp8GLiVWTYkCB3akR,depth_top,cm,11
LakeYarnyshnoe.Snyder.2000,none,NA,chronData,lc-chRluqoVKS8Vox8IfLh,depth_bottom,cm,11
LakeofAnnecy.Noel.2001,none,NA,chronData,lc-chRHWOCizFfQ90hrO9O,labID,unitless,7
LakeofAnnecy.Noel.2001,none,NA,chronData,lc-chRlL5xJ6uKbihskd3O,thickness,cm,7
LakeofAnnecy.Noel.2001,none,NA,chronData,lc-chRYPdScK1Q8oMkqgxc,notes,unitless,7
LakeofAnnecy.Noel.2001,none,NA,chronData,lc-chRd2TQRyqeDtaEp6oA,depth_top,cm,7
LakeofAnnecy.Noel.2001,none,NA,chronData,lc-chRXxeTIGMT90Sok8Nl,depth_bottom,cm,7
LakeoftheClouds.Stuiver.1971,none,NA,chronData,lc-chRHOKTvLMIUMwJrppm,thickness,cm,31
LakeoftheClouds.Stuiver.1971,none,NA,chronData,lc-chRlDgLdGArnMjUYziD,depth_top,cm,31
LakeoftheClouds.Stuiver.1971,none,NA,chronData,lc-chRE7sJ7AJroPTlz8Uz,depth_bottom,cm,31
Lalaxkarret.Vuorela.1990,none,NA,chronData,lc-chRdwz0Wl8m3ERf2Zyr,notes,unitless,3
Landshaftnoe.Elina.1981,none,NA,chronData,lc-chRsMu8ptPSSbmWW8Rz,notes,unitless,2
Langarud.Haghani.2015,none,NA,chronData,lc-chRe9H3HqlV2GTz3oV0,thickness,cm,2
Langarud.Haghani.2015,none,NA,chronData,lc-chRr2aRHl2UsAUGdCZd,notes,unitless,2
Langarud.Haghani.2015,none,NA,chronData,lc-chRIAc7ef35UBHinY8a,depth_top,cm,2
Langarud.Haghani.2015,none,NA,chronData,lc-chRC7MuBxXjMivIuc9t,depth_bottom,cm,2
LangesFennKemnitzerheide.Brande.1999,none,NA,chronData,lc-chRy3TlZoyp1FENbzsi,notes,unitless,6
LannVihan.Visset.2006,none,NA,chronData,lc-chROC3XlkPYkhnuIO6p,labID,unitless,8
LannVihan.Visset.2006,none,NA,chronData,lc-chRBnJpEAFnQyhnZNyb,notes,unitless,8
LanserMoor.Bortenschlager.1984,none,NA,chronData,lc-chR8idddYDHB2J3OMhs,notes,unitless,6
Lanzahita.LopezSaez.2010,none,NA,chronData,lc-chRfJ7pl5nDLj9bekWp,notes,unitless,6
Lanzhou.Wang.1991,none,NA,chronData,lc-chRRe3RY9QGvIx5rOj0,labID,unitless,7
Lanzhou.Wang.1991,none,NA,chronData,lc-chRCTibBngWGbQMsB0L,thickness,cm,7
Lanzhou.Wang.1991,none,NA,chronData,lc-chROZkVMyNqbTKMxPk1,notes,unitless,7
Lanzhou.Wang.1991,none,NA,chronData,lc-chRw3DQIPbSy9SJkXXe,depth_top,cm,7
Lanzhou.Wang.1991,none,NA,chronData,lc-chRy1pvJmHDSAfZfzzj,depth_bottom,cm,7
Laotanfang.Zhang.2006,none,NA,chronData,lc-chRVjjmjrdqX7wfGnrW,labID,unitless,6
Laotanfang.Zhang.2006,none,NA,chronData,lc-chRmMomOcqU6NFN1eRd,thickness,cm,6
Laotanfang.Zhang.2006,none,NA,chronData,lc-chR3QUC45b5IqtAqpZD,notes,unitless,6
Laotanfang.Zhang.2006,none,NA,chronData,lc-chRAtQrkpes8jgYH1X8,depth_top,cm,6
Laotanfang.Zhang.2006,none,NA,chronData,lc-chRUKoNqV8nlUvYnJD2,depth_bottom,cm,6
Lapagrandecave.Strikis.2011,none,NA,paleoData,S2LROzUFzH9UZ7,notes,unitless,2673
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcR8y2SryTsd2,labID,unitless,12
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcRBuRim0V5yJ,materialDated,unitless,12
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcRXTbpfVXxRT,retained,unitless,12
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcR9Kf3feaVs4,decayConstant,unitless,12
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcRUVnQ9sTfzf,age_type,unitless,12
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcRXw3wtsZAeM,labID,unitless,12
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcR87nPGOBEmi,materialDated,unitless,12
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcRiA7ZNsQAt1,retained,unitless,12
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcRUmRWO3pZep,decayConstant,unitless,12
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcRE1ABGm2J0d,age_type,unitless,12
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcRaDLFLxQeLe,labID,unitless,17
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcRk5eaG70uAp,materialDated,unitless,17
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcRpTAae4r814,retained,unitless,17
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcRJW7PwoYBAw,decayConstant,unitless,17
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcRQi2W48Ycr2,age_type,unitless,17
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcRpdajmX7VdN,labID,unitless,10
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcRMmkG89VXKA,materialDated,unitless,10
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcRiRHnUteS3W,retained,unitless,10
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcR9cfzjysPvi,decayConstant,unitless,10
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcRArq8bZjFHL,age_type,unitless,10
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcRxIhnMC65GA,labID,unitless,10
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcRpwtup06Vda,materialDated,unitless,10
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcRVqdeT1Aqgr,retained,unitless,10
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcRF7jj02M1M5,decayConstant,unitless,10
Lapagrandecave.Strikis.2011,none,NA,chronData,S2LcR07jQmh2dIV,age_type,unitless,10
LaptevPM9462.Naidina.2001,none,NA,chronData,lc-chRPEg3ytvnpd9gRvqC,labID,unitless,11
LaptevPM9462.Naidina.2001,none,NA,chronData,lc-chRYMReRDyTmRBsxQSp,notes,unitless,11
LarixlaricinaSite10.Penalba.1997,none,NA,chronData,lc-chRRU0JcEcUEs9ou20X,labID,unitless,4
LarixlaricinaSite10.Penalba.1997,none,NA,chronData,lc-chRySko6vc6LmyXGVg4,notes,unitless,4
LarixlaricinaSite4.Penalba.1997,none,NA,chronData,lc-chR8LWFpONWCxcE4Ce6,notes,unitless,2
LarixlaricinaSite5.Penalba.1997,none,NA,chronData,lc-chR5JewEAqt96SXHHBo,notes,unitless,6
LasFloresArroyo.Anderson.1998,none,NA,chronData,lc-chR2mRPQAjElOJvWQpE,notes,unitless,3
LasPardillasLake.Goni.1999,none,NA,chronData,lc-chRtI5NeOru2GiZ2kVw,notes,unitless,4
LastChanceLake.Higuera.2006,none,NA,chronData,lc-chRWXAQ0jmIjugCsBba,notes,unitless,4
Lastioulles.deBeaulieu.1982,none,NA,chronData,lc-chROk5P8ep6P6R5RLTj,materialDated,unitless,2
Lastioulles.deBeaulieu.1982,none,NA,chronData,lc-chRJBxyYZ8m2l96jjFQ,notes,unitless,2
Lauenensee.Rey.2013,none,NA,chronData,lc-chRELN53LtgbnzyRRJX,notes,unitless,12
Lavare.Barbier.1999,none,NA,chronData,lc-chRGFMVTyWSSwydoYOv,notes,unitless,6
Lavau.Voeltzel.1987,none,NA,chronData,lc-chRoZiXpmoFJkvkwR98,notes,unitless,5
LeGesvres.Ouguerram.2002,none,NA,chronData,lc-chRJJxYefLHi0atm4bE,notes,unitless,8
LeGrandLemps.Clerc.1988Legacy,none,NA,chronData,lc-chRRSqSdCfu3lrT8Nn7,notes,unitless,6
LeGrandMontarnu.JouffroyBapicot.2010,none,NA,chronData,lc-chR53OTIvFGwTymskrE,notes,unitless,7
LeJolan.deBeaulieu.1982,none,NA,chronData,lc-chRuFabLs2Et69fYFEm,materialDated,unitless,2
LeJolan.deBeaulieu.1982,none,NA,chronData,lc-chRqMyspkqGgBkpOUUk,notes,unitless,2
LeLochSunart.Mokeddem.2007,none,NA,chronData,lc-chRgHTsnzs1zC1H9oiA,thickness,cm,3
LeLochSunart.Mokeddem.2007,none,NA,chronData,lc-chRO296rYDhd4owsiwY,notes,unitless,3
LeLochSunart.Mokeddem.2007,none,NA,chronData,lc-chRwr6Ye2dDAso6tQ1T,depth_top,cm,3
LeLochSunart.Mokeddem.2007,none,NA,chronData,lc-chRo6tw71RneZbyFdD5,depth_bottom,cm,3
LeLoclat.Hadorn.1992,none,NA,chronData,lc-chRn69GSPjLlpBXM7xW,thickness,cm,11
LeLoclat.Hadorn.1992,none,NA,chronData,lc-chR5ZhirNQuoAOyIxFh,notes,unitless,11
LeLoclat.Hadorn.1992,none,NA,chronData,lc-chRa7y467sGiIyeTns2,depth_top,cm,11
LeLoclat.Hadorn.1992,none,NA,chronData,lc-chRkiyNzJoBInAWUmM4,depth_bottom,cm,11
LeMaraisStBoetien.vanZeist.1980,none,NA,chronData,lc-chRSO7JHeVdP5ivMVyz,notes,unitless,6
LeMaraisdelaPergeSouth.Diot.1995,none,NA,chronData,lc-chRp8253loxxKt62urV,notes,unitless,6
LeMiroir.Richard.1996,none,NA,chronData,lc-chRVSjySsQLuNjVDa6I,materialDated,unitless,2
LeMiroir.Richard.1996,none,NA,chronData,lc-chRBmsY8KHrbm6vLItE,notes,unitless,2
LeVernay.JouffroyBapicot.2010,none,NA,chronData,lc-chRCCrSfyTTCXrCvKaF,notes,unitless,7
LeVernydesBrulons.JouffroyBapicot.2010,none,NA,chronData,lc-chR7hseg5j2j6bEeAfO,notes,unitless,6
LeaCounty.Leonard.1975,none,NA,paleoData,OLS_RD4igR4b4bP,lakeTrend,unitless,32
Lednica-2.Litt.1991,none,NA,chronData,cRDj0bpfUJbKatuoy1,thickness,cm,11
Lednica-2.Litt.1991,none,NA,chronData,cRaUO4BbzY8NIczqfY,labID,unitless,11
LedovyiObryvExposureNorthernSection.Anderson.2002,none,NA,chronData,lc-chRvAR3kGppzZvQR5WG,notes,unitless,10
Leerdam.deKlerk.1997,none,NA,chronData,lc-chRTYH8gSbNBn0Nu66w,notes,unitless,2
LeikishkeBog.EPD,none,NA,chronData,cRmCEefijdUPPkFhcn,thickness,cm,5
LeikishkeBog.EPD,none,NA,chronData,cR55ttONUu6YnyOrd8,labID,unitless,5
LejdaChampfer.Gobet.2005,none,NA,chronData,lc-chRJzaWoFIsD9Ty5DbF,notes,unitless,17
Lembolovskoyelake.Arslanov.2001,none,NA,chronData,lc-chR0DlYYKLMbfzUmbja,notes,unitless,39
LengiEgga.Tinner.2003,none,NA,chronData,lc-chRqjbOtwLd3PC3Vgvu,notes,unitless,14
LesHumelles.author.1111,none,NA,chronData,lc-chREmMHwLl2EL3mItCZ,labID,unitless,6
LesHumelles.author.1111,none,NA,chronData,lc-chRR4rnDLWaWOMY6RUN,materialDated,unitless,6
LesHumelles.author.1111,none,NA,chronData,lc-chRBiVuxg1Km2QcYINf,notes,unitless,6
LesLaubies.de.1972,none,NA,chronData,lc-chRlxotc0Ix7nyZhk9R,materialDated,unitless,3
LesLaubies.de.1972,none,NA,chronData,lc-chR7pBeDr7I136BvQkJ,notes,unitless,3
LesNans.Gauthier.2001,none,NA,chronData,lc-chRypAsOHL9SKR7z2XF,thickness,cm,2
LesNans.Gauthier.2001,none,NA,chronData,lc-chRv3yChpOjz2dq9yMh,notes,unitless,2
LesNans.Gauthier.2001,none,NA,chronData,lc-chRFS2oO3TJGAkkny2c,depth_top,cm,2
LesNans.Gauthier.2001,none,NA,chronData,lc-chRNKMX06XlX9tzpalS,depth_bottom,cm,2
LesNaudieres.Poirier.2013,none,NA,chronData,lc-chRhfgYWIRicyM9O0xv,notes,unitless,7
LesNoes.Visset.2005,none,NA,chronData,lc-chRvdlqoQeemQOKwGnO,notes,unitless,6
LesPalanques.PerezObiol.1988,none,NA,chronData,lc-chRHvM4zHJob7PzYJZP,notes,unitless,3
LesTannieres.McGhee.1975,none,NA,chronData,lc-chRz1ibEERb4nXUkxBR,notes,unitless,2
LesnayaRiverExposure.Anderson.2002,none,NA,chronData,lc-chRKhdxaJ3cPaRn4PDf,notes,unitless,5
LesnoyeLake.Anderson.2002,none,NA,chronData,lc-chRE9Kt32bODKhDgW57,notes,unitless,7
LevinsonLessingLake.Andreev.2013,none,NA,chronData,lc-chRDTgTLemTuCk6cAtg,labID,unitless,24
LevinsonLessingLake.Andreev.2013,none,NA,chronData,lc-chRaPBEYcI5JZa9pISn,materialDated,unitless,24
LevinsonLessingLake.Andreev.2013,none,NA,chronData,lc-chRQd94AdrffHFCt3nu,thickness,cm,24
LevinsonLessingLake.Andreev.2013,none,NA,chronData,lc-chRSLZIzaPaRLkiNgk0,notes,unitless,24
LevinsonLessingLake.Andreev.2013,none,NA,chronData,lc-chRIGhyGQVF4tECMn9M,depth_top,cm,24
LevinsonLessingLake.Andreev.2013,none,NA,chronData,lc-chRqO5YmtRoe4VmbB1z,depth_bottom,cm,24
Lezerulcalimani.Farcas.1999,none,NA,chronData,lc-chRpnABFj9utlIsJg22,labID,unitless,9
Lezerulcalimani.Farcas.1999,none,NA,chronData,lc-chROfykUWpToRb1HIdH,materialDated,unitless,9
Lezerulcalimani.Farcas.1999,none,NA,chronData,lc-chR926e7cRoHVw5pujw,thickness,cm,9
Lezerulcalimani.Farcas.1999,none,NA,chronData,lc-chR9B66loDzZURWAPOx,notes,unitless,9
Lezerulcalimani.Farcas.1999,none,NA,chronData,lc-chRV0IJOgDm8xeoMicj,depth_top,cm,9
Lezerulcalimani.Farcas.1999,none,NA,chronData,lc-chRr8Zjy18GguwffmBg,depth_bottom,cm,9
LiangLuar.Griffiths.2016,none,NA,paleoData,S2LRNwAlWnlDcR,notes,NA,4636
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRVvuADUbjOb,labID,unitless,35
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRm7bXGmApYT,materialDated,unitless,35
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcR2Wx3t4Uucb,retained,unitless,35
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcR2sOI1b6955,decayConstant,unitless,35
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRlfgg6E9iNv,age_type,unitless,35
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRYisBPysmr2,labID,unitless,29
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcR2FGtVFTg3A,materialDated,unitless,29
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRrFjbCOqusr,retained,unitless,29
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRaOCbQVGeq1,decayConstant,unitless,29
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRNiLexjQR7x,age_type,unitless,29
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRbVRUB6Bvt5,labID,unitless,19
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRH6MLAthrEy,materialDated,unitless,19
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRhVQwCEfkNg,retained,unitless,19
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcR6dm68b7KpW,decayConstant,unitless,19
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRnmIas2TYiK,age_type,unitless,19
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRnxuTK5rrBP,labID,unitless,2
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcR4TNTgq1sau,materialDated,unitless,2
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcR3CQFk7slIr,retained,unitless,2
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRzILxqEpUUf,decayConstant,unitless,2
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcR1Yi0cnLi9Z,age_type,unitless,2
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRpnIAj7Ooq1,labID,unitless,8
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRlLL1eIABCV,materialDated,unitless,8
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRKrbFfcW2BY,retained,unitless,8
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRdJZeHkyCke,decayConstant,unitless,8
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRQjvxIrZK4N,age_type,unitless,8
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRP5VZjpOnnt,labID,unitless,9
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRPv5yd7l8FE,materialDated,unitless,9
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRGY15AxjYnp,retained,unitless,9
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRfLJiZ9SlX9,decayConstant,unitless,9
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRvEFXKz7r5f,age_type,unitless,9
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRLg8fSnnCcT,labID,unitless,25
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRvimukIRXaL,materialDated,unitless,25
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRU9ldelVLH2,retained,unitless,25
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcR7DlVfQuUlG,decayConstant,unitless,25
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRED9fakCIxP,age_type,unitless,25
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcROXDcE02OuQ,labID,unitless,19
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcR7p6O1EDd9U,materialDated,unitless,19
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRcnviNAcwfP,retained,unitless,19
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRDVrP3Yuzhg,decayConstant,unitless,19
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcREaJfmFQGKv,age_type,unitless,19
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRrr7O3GKXVr,labID,unitless,17
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRbu6Z7eNNOv,materialDated,unitless,17
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcR07XUkBfjjx,retained,unitless,17
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRhFgDCsWxbx,decayConstant,unitless,17
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRObZzhevrwD,age_type,unitless,17
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRfojK6q2Y6k,labID,unitless,32
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRSneRhGl6uB,materialDated,unitless,32
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcR7rCNuJJYGl,retained,unitless,32
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRLw6Cy0ffJC,decayConstant,unitless,32
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRChPv7DXQ56,age_type,unitless,32
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRajqxjOaWdt,labID,unitless,6
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRaylBULh1Rh,materialDated,unitless,6
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRtQWmo5IYqh,retained,unitless,6
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcR7yBRelkH96,decayConstant,unitless,6
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRXee7fYxrQw,age_type,unitless,6
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRq6X61j2mp9,labID,unitless,6
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRTz4AOrcA5I,materialDated,unitless,6
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRGRRMEE72ip,retained,unitless,6
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRLUhJcjy9nH,decayConstant,unitless,6
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRaxIS8dvVB4,age_type,unitless,6
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRuCDfMZP9mZ,labID,unitless,11
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRoDCQwfHqn2,materialDated,unitless,11
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcR5D3q9WrCUA,retained,unitless,11
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRSz1mzjTn2T,decayConstant,unitless,11
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRRhmhARWlWu,age_type,unitless,11
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRDdhD2wGras,labID,unitless,23
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcR9u9AXUBGhf,materialDated,unitless,23
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRUWW75dnLXo,retained,unitless,23
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcRIOI0cvJgfL,decayConstant,unitless,23
LiangLuar.Griffiths.2016,none,NA,chronData,S2LcR7Sc63bY0HB,age_type,unitless,23
LianhuacaveHunan.Cosford.2008,none,NA,paleoData,S2LReGyfgwWj5h,notes,NA,1573
LianhuacaveHunan.Cosford.2008,none,NA,chronData,S2LcRqfT9UarEwV,labID,unitless,11
LianhuacaveHunan.Cosford.2008,none,NA,chronData,S2LcRD5QTXt6D4v,materialDated,unitless,11
LianhuacaveHunan.Cosford.2008,none,NA,chronData,S2LcRMd4pkuvGYe,retained,unitless,11
LianhuacaveHunan.Cosford.2008,none,NA,chronData,S2LcR1IUsRaKSoB,decayConstant,unitless,11
LianhuacaveHunan.Cosford.2008,none,NA,chronData,S2LcREaPKo0SuE8,age_type,unitless,11
LianhuacaveHunan.Cosford.2008,none,NA,chronData,S2LcRaQn6OI6JQ5,labID,unitless,42
LianhuacaveHunan.Cosford.2008,none,NA,chronData,S2LcRr3a2GDTZ0i,materialDated,unitless,42
LianhuacaveHunan.Cosford.2008,none,NA,chronData,S2LcRk8NJ1hVbwe,retained,unitless,42
LianhuacaveHunan.Cosford.2008,none,NA,chronData,S2LcR2XVh4UgUP8,decayConstant,unitless,42
LianhuacaveHunan.Cosford.2008,none,NA,chronData,S2LcRJ6vJ8gplQ7,age_type,unitless,42
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcRryDQAFxZT1,materialDated,unitless,5
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcRCRseBPiz37,retained,unitless,5
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcRht8H6npF40,decayConstant,unitless,5
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcR8tPUrPDg4z,age_type,unitless,5
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcRmJBPW6zRAy,materialDated,unitless,16
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcRutvmsbCzcz,retained,unitless,16
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcRBVxPSrh2Da,decayConstant,unitless,16
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcRB5eap818da,age_type,unitless,16
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcRoIDsI4AHTk,materialDated,unitless,14
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcRHxz5oQfp1a,retained,unitless,14
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcRh8elhVNSY4,decayConstant,unitless,14
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcRTsdNJzXmYD,age_type,unitless,14
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcRjI3K9ud8Li,materialDated,unitless,2
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcRfKV6TO1DaT,retained,unitless,2
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcRdzFcTIyfsG,decayConstant,unitless,2
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcRlPBxzt7NSN,age_type,unitless,2
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcRqnkR7ptyQa,materialDated,unitless,4
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcRua06AUUcOY,retained,unitless,4
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcRug44S8Mzvs,decayConstant,unitless,4
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcRqtuy3ZXxc6,age_type,unitless,4
LianhuacaveShanxi.Dong.2018,none,NA,chronData,S2LcRTOfcfCYmGC,materialDated,unitless,10
